type,properties/@id,properties/amenity,properties/name,geometry/type,geometry/coordinates/0,geometry/coordinates/1,id,properties/historic,properties/name:hi,properties/tourism,properties/memorial,properties/name:en,properties/reservation,properties/addr:city,properties/addr:postcode,properties/addr:street,properties/operator,properties/phone,properties/website,properties/created_by,properties/brand,properties/brand:wikidata,properties/cuisine,properties/diet:vegetarian,properties/outdoor_seating,properties/diet:vegan,properties/disused,properties/alt_name,properties/wheelchair,properties/wikidata,properties/wikimedia_commons,properties/wikipedia,properties/internet_access,properties/opening_hours,properties/ruins,properties/ele,properties/source:ele,properties/name:fa,properties/addr:country,properties/addr:housenumber,properties/addr:place,properties/email,properties/phone2,properties/phone3,properties/fax,properties/addr:block,properties/addr:streetname,properties/addr:suburb,properties/name:bn,properties/stars,properties/tables,properties/addr:state,properties/addr:housename,properties/takeaway,properties/internet_access:fee,properties/name:ru,properties/man_made,properties/name:es,properties/addr:unit,properties/contact:mobile,properties/level,properties/start_date,properties/check_date,properties/brand:pa,properties/brand:ur,properties/brand:wikipedia,properties/name:pa,properties/name:ur,properties/official_name,properties/official_name:pa,properties/official_name:ur,properties/survey:date,properties/contact:phone,properties/source:name,properties/indoor_seating,properties/panoramax,properties/service:electricity,properties/short_name,properties/toilets,properties/toilets:access,properties/toilets:wheelchair,properties/air_conditioning,properties/delivery,properties/capacity,properties/addr:full,properties/name:fr,properties/place,properties/smoking,properties/shop,properties/firearms,properties/kids_area,properties/panoramax:0,properties/panoramax:1,properties/panoramax:2,properties/panoramax:3,properties/panoramax:4,properties/payment:cards,properties/payment:cash,properties/payment:qr_code,properties/addr:district,properties/bar,properties/internet_access:ssid,properties/mobile,properties/payment:mastercard,properties/payment:neft,properties/payment:upi,properties/payment:visa,properties/payment:wire_transfer,properties/rooms,properties/source,properties/name:ca,properties/name:ko,properties/name:kn,properties/description,properties/name:de,properties/name:ar,properties/addr:hamlet,properties/contact:website,properties/phone_1,properties/access,properties/diet:gluten_free,properties/diet:lacto_vegetarian,properties/addr:neighbourhood,properties/branch,properties/contact:facebook,properties/diet:lactose_free,properties/image:menu,properties/image:menu:0,properties/image:menu:1,properties/image:menu:2,properties/image:menu:3,properties/image:menu:4,properties/image:menu:5,properties/image:menu:6,properties/image:menu:7,properties/payment:credit_cards,properties/payment:debit_cards,properties/toilets:fee,properties/toilets:level,properties/note,properties/name:ja,properties/drink:coffee,properties/drink:tea,properties/craft,properties/ref,properties/seats,properties/name:nl,properties/alcohol,properties/drink:beer,properties/drink:vodka,properties/drink:wine,properties/self_service,properties/drink:alcohol,properties/drink:sake,properties/toilets:gender_segregated,properties/toilets:panoramax,properties/toilets:position,properties/toilets:supervised,properties/addr:level,properties/toilets:panoramax:0,properties/name:he,properties/check_date:opening_hours,properties/contact:email,properties/contact:instagram,properties/drink:shake,properties/brand:wikipedia:pa,properties/image,properties/payment:diners_club,properties/payment:discover_card,properties/addr:subdistrict,properties/panoramax:5,properties/brewery,properties/changing_table,properties/diet:chicken,properties/diet:fish,properties/diet:halal,properties/diet:meat,properties/diet:non-vegetarian,properties/diet:omnivore,properties/diet:seafood,properties/highchair,properties/drink:hot_chocolate,properties/facebook,properties/opening_hours:covid19,properties/fixme,properties/payment:electronic_purses,properties/owner,properties/internet_access:type,properties/seafood:sales,properties/cafe,properties/drive_through,properties/is_in,properties/addr:floor,properties/addr:buildingname,properties/microbrewery,properties/opening_hours:kitchen,properties/diet:ovo_vegetarian,properties/name:ta,properties/addr:landmark,properties/addr:locality,properties/address,properties/diet:sugar_free,properties/dog,properties/toilets:hands_drying,properties/toilets:handwashing,properties/website:menu,properties/noname,properties/street_vendor,properties/baby_feeding,properties/contact:website:menu,properties/handwashing:soap,properties/strapline,properties/toilets:disposal,properties/toilets:paper_supplied,properties/location,properties/not:brand:wikidata,properties/nohousenumber
Feature,node/449453229,restaurant,Nirula's,Point,77.1655706,28.522664,node/449453229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/496728650,,Suryadev,Point,77.1444274,28.7950429,node/496728650,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/544510362,restaurant,Aggarwal Sweets,Point,77.2145639,28.5342313,node/544510362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/544510428,restaurant,Raju Dhaba,Point,77.2179083,28.5308092,node/544510428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/560417307,restaurant,Sagar Ratna,Point,77.2118299,28.5369219,node/560417307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/599901621,restaurant,Sagarrathna,Point,77.1037651,28.6740388,node/599901621,,,,,,,,,,,,,,,,south indian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/613342452,,Jaypee Vasant Continental Hotel,Point,77.1640135,28.5565495,node/613342452,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/655305904,,Parkland Hotel,Point,77.2281718,28.5672888,node/655305904,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/762031785,restaurant,Aggarwal Restaurant,Point,77.0352522,28.7988933,node/762031785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/821201866,,Vishal Residency Hotel,Point,77.1190259,28.5426758,node/821201866,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/928488601,,Yatri Guesthouse,Point,77.2053386,28.6422845,node/928488601,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/928550280,restaurant,Hotel Metropolis,Point,77.2105994,28.6407045,node/928550280,,,hotel,,,,,,,,,,,,,international,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/928567979,restaurant,Piccadelhi,Point,77.2196937,28.635243,node/928567979,,,,,,,,,,,,,,,,,yes,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/938523891,,Diwan-e-Aam,Point,77.2423117,28.6557818,node/938523891,,दीवान-ए-आम,attraction,,,,,,,,,,,,,,,,,,Diwan-e-Am,yes,Q16829863,Category:Diwan-i-Am (Red Fort),en:Diwan-i-Am (Red Fort),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/956194764,,Hotel Tara Palace,Point,77.2345124,28.6534876,node/956194764,,,hotel,,,,,110006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/974363115,,Star Paradise,Point,77.2156719,28.6410897,node/974363115,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1157202196,cafe,Bon Temps Cafe,Point,77.186576,28.6428339,node/1157202196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1179282274,restaurant,Aangan Restuarant,Point,77.0652214,28.6361048,node/1179282274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1184434816,,Vivek,Point,77.212675,28.6410436,node/1184434816,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1184509690,cafe,Internet,Point,77.2125387,28.6410051,node/1184509690,,,,,,,,,,,,,,,,,,,,,,,,,,terminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1186823713,,Vijaymandal,Point,77.2637954,28.5111647,node/1186823713,ruins,,attraction,,,,,,,,,,,,,,,,,,,,,,,,24/7,castle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1186823717,,Secret Passage,Point,77.2635057,28.5107701,node/1186823717,,,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1241932078,restaurant,Bangla Foods,Point,77.2083619,28.6333595,node/1241932078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.41,gpx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1267705129,cafe,Nescafe,Point,77.1167453,28.7496454,node/1267705129,,,,,,,"Shahbad Daulatpur, Delhi",110042,DCE College,,,,,,,,,,,,,,,,,,,,,,نسکافه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1374470951,restaurant,,Point,77.0919202,28.6234479,node/1374470951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1376268076,,Vishal,Point,77.2118997,28.6409016,node/1376268076,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1376268077,,Hare Krishna Guest House,Point,77.2121571,28.6409675,node/1376268077,,,hotel,,,,New Delhi,110055,Main Bazaar,,011 41541340,http://www.hotelharekrishna.com/,,,,,,,,,,,,,,,,,,,,IN,1572-73,Pahar Ganj,reservationhotelharekrishna@gmail.com,011 41541341,011 43598427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1376268079,,Anoop,Point,77.2121018,28.6409297,node/1376268079,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
