type,properties/@id,properties/name,properties/tourism,geometry/type,geometry/coordinates/0,geometry/coordinates/1,id,properties/amenity,properties/addr:city,properties/cuisine,properties/outdoor_seating,properties/smoking,properties/source,properties/wikidata,properties/name:ru,properties/internet_access,properties/description,properties/image,properties/website,properties/internet_access:fee,properties/rooms,properties/addr:country,properties/phone,properties/name:en,properties/name:hi,properties/name:kn,properties/name:tr,properties/waterway,properties/email,properties/fax,properties/stars,properties/diet:vegetarian,properties/addr:postcode,properties/air_conditioning,properties/bar,properties/check_date,properties/payment:cash,properties/payment:upi,properties/toilets,properties/opening_hours,properties/elephant,properties/wheelchair,properties/name:nl,properties/operator,properties/diet:vegan,properties/indoor_seating,properties/natural,properties/addr:street,properties/access,properties/addr:housenumber,properties/delivery,properties/capacity,properties/takeaway,properties/check_date:opening_hours,properties/opening_hours:signed,properties/brand,properties/contact:facebook,properties/reservation,properties/brand:ks,properties/brand:pa,properties/brand:ur,properties/brand:wikidata,properties/brand:wikipedia,properties/name:ks,properties/name:pa,properties/name:ur,properties/biergarten,properties/disused:shop,properties/note,properties/name:it,properties/addr:housename,properties/attraction,properties/microbrewery,properties/shop,properties/addr:district,properties/branch,properties/website:menu,properties/payment:credit_cards,properties/payment:debit_cards,properties/name_1,properties/alt_name,properties/addr:floor,properties/level,properties/name:mr,properties/name:gom,properties/place,properties/wikipedia,properties/amenity_1,properties/internet_access:ssid,properties/name:de,properties/addr:state,properties/name:fr,properties/elevation,properties/leisure,properties/sport,properties/supervised,properties/changing_table,properties/addr:street:ru,properties/surface,properties/beds,properties/toilets:access,properties/toilets:wheelchair,properties/loc_name,properties/payment:american_express,properties/payment:diners_club,properties/payment:mastercard,properties/payment:paytm,properties/payment:rupay,properties/payment:visa,properties/historic,properties/inscription,properties/man_made,properties/start_date,properties/name:es,properties/name:ko,properties/addr:place,properties/check_date:diet:vegan,properties/changing_table:count,properties/payment:coins,properties/payment:notes,properties/contact:email,properties/floors,properties/swimming_pool,properties/survey:date,properties/diet:gluten_free,properties/contact:fax,properties/official_name,properties/pets,properties/pincode,properties/diet:chicken,properties/diet:fish,properties/diet:meat,properties/contact:instagram,properties/payment:google_pay,properties/denotation,properties/genus,properties/diet:non-vegetarian,properties/fixme,properties/diet:local,properties/diet:pescetarian,properties/diet:seafood,properties/check_date:currency:XBT,properties/currency:XBT,properties/payment:blink,properties/payment:lightning,properties/payment:lightning_contactless,properties/payment:onchain,properties/image:menu,properties/panoramax:0,properties/panoramax:1,properties/panoramax:2,properties/panoramax:3,properties/panoramax:4,properties/panoramax:5,properties/panoramax:6,properties/panoramax:7,properties/panoramax:8,properties/panoramax:9,properties/toilets:fee,properties/highchair,properties/mobile,properties/currency:INR,properties/diet:mediterranean,properties/self_service
Feature,node/536511498,Mayonna Creek Side Bar & Restaurant,,Point,73.7512831,15.5671618,node/536511498,restaurant,,regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/536626142,St. Anthony's,,Point,73.7492435,15.5615172,node/536626142,restaurant,,indian,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/536626144,Sunset Restaurant & Bar,,Point,73.7479133,15.563143,node/536626144,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/560733997,Stiff Waves,,Point,73.834655,15.3693362,node/560733997,restaurant,,,,,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/560733999,Coconut Creek Hotel,hotel,Point,73.833213,15.3731432,node/560733999,,,,,,,Q111861843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/560734000,Bogmalo Beach Resort,hotel,Point,73.8356248,15.3687239,node/560734000,,,,,,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/560734001,VBR Goenkar Restaurant,,Point,73.9098168,15.397018,node/560734001,restaurant,,,,,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/560740055,Vivenda dos Palhacos,hotel,Point,73.9120226,15.3149219,node/560740055,,,,,,GPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/560740287,Zeebop,,Point,73.8990021,15.3207001,node/560740287,restaurant,,,,,GPS,,Зеебар,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/679232452,Goyam,,Point,73.989421,15.0368747,node/679232452,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/679232472,Sunset Bar & Restaurant,,Point,73.991958,15.0349757,node/679232472,restaurant,,,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/728176312,Star Bar,,Point,73.8932498,15.5003834,node/728176312,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/985854021,Vee Restaurant,,Point,73.7413017,15.5969938,node/985854021,cafe,,,,,,,,,Vegetarian/Vegan Restaurant,https://www.facebook.com/VeetheplacetoBee/photos/109961264283385https://www.facebook.com/VeetheplacetoBee/photos/109961264283385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/990877973,Cheeky Chapatti,,Point,74.02358,15.012672,node/990877973,restaurant,,indian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1002516915,Blue Waves,,Point,73.9022845,15.3103725,node/1002516915,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1002523461,Royal Orchid Hotel,hotel,Point,73.9019999,15.3202121,node/1002523461,,,,,,,,,,,,https://www.royalorchidhotels.com/royal-orchid-resort-galaxy-goa/overview.asp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1002523466,Island View Restaurant,,Point,73.899254,15.3198731,node/1002523466,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1002537920,Park Hyatt,hotel,Point,73.8995255,15.3275963,node/1002537920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1205773396,Sea Queen Beach Resort,hotel,Point,73.9122213,15.2880544,node/1205773396,,,,,,,,,wlan,,,,no,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1205808706,The Leela Palace Hotel,hotel,Point,73.9484633,15.1566824,node/1205808706,,,,,,,,,,,,https://www.theleela.com/,,,IN,+91-832 662 1234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1205886505,La Paz,hotel,Point,73.8139606,15.3977044,node/1205886505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1241285499,Dudhsagar Falls,attraction,Point,74.3142493,15.3156176,node/1241285499,,,,,,,Q37545,Водопад Дудхсагар,,,,,,,,,Dudhsagar Falls,दूधसागर झरना - गोवा,ದೂದ್ ಸಾಗರ್ ಜಲಪಾತ,Dudhsagar şelalesi,waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1321177646,GTDC Calangute Residency,hotel,Point,73.7564642,15.5453792,node/1321177646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1321177647,Hotel A Canoa,hotel,Point,73.7569256,15.5444824,node/1321177647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1321177649,,hotel,Point,73.7574352,15.5446401,node/1321177649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1321177650,,,Point,73.7571589,15.5446297,node/1321177650,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1321177651,Punjabi Dhaba,,Point,73.7568773,15.5452422,node/1321177651,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1328325061,Maharaja,,Point,73.9256883,15.3630067,node/1328325061,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1328558021,O Coqueiro,,Point,73.8249052,15.5320101,node/1328558021,restaurant,,Goan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1470515254,Casa de Goa,hotel,Point,73.7610873,15.5405653,node/1470515254,,,,,,,,,,,,https://www.casadegoa.com/,,,,9.18327E+11,,,,,,info@casadegoa.com,9.18322E+11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1470515255,Paradise Village Beach Resort,hotel,Point,73.7592017,15.5397723,node/1470515255,,,,,,,,,,,,https://paradisevillage.org/,,,,+918322276351 ‎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1632988212,Gomango,,Point,73.9612886,15.4595486,node/1632988212,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1633020461,Colva Beach Resort,hotel,Point,73.9165426,15.2769121,node/1633020461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1633020464,La Ben,hotel,Point,73.9165427,15.2762782,node/1633020464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1655868314,Hotel Neelam Grand,hotel,Point,73.7656586,15.5441857,node/1655868314,,,,,,,Q111416010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1655879936,Hotel Neelam Glitz,hotel,Point,73.7663689,15.544014,node/1655879936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1656629613,Niwant Fish Hut,,Point,73.8065797,15.5870434,node/1656629613,restaurant,,,,,,,,,,,,,,,,,,,,,,,,only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1656637300,Babaji Cafeteria,,Point,73.8100237,15.5909807,node/1656637300,cafe,,regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1656639870,Hotel Satyaheera,hotel,Point,73.810367,15.5910323,node/1656639870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1687186919,Taj Holiday Village,hotel,Point,73.7699372,15.4999998,node/1687186919,,,,,,,,,,,,https://www.vivantabytaj.com/Holiday-Village-Goa/Overview.html,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1687472932,The German Bakery,,Point,73.7477301,15.5738317,node/1687472932,cafe,anjuna,,,separated,,,,wlan,,,,customers,,,,,,,,,,,,,403509,no,yes,13-08-2024,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1688110025,Infantaria,,Point,73.7604388,15.5465953,node/1688110025,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 07:30-23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1688110026,Laxmi's Home,attraction,Point,73.7656839,15.5135064,node/1688110026,,,,,,,,,,This is the home of Laxmi the Elephant,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
